name,url,address
Scotch Plains Fanwood High School,https://www.greatschools.org/new-jersey/scotch-plains/1815-Scotch-Plains-Fanwood-High-School/,"667 Westfield Road, Scotch Plains, NJ, 07076
�
3.7
(3 Reviews)"
Sparta High School,https://www.greatschools.org/new-jersey/sparta-township/1889-Sparta-High-School/,"70 West Mountain Road, Sparta, NJ, 07871
�
3.6
(10 Reviews)"
Summit Sr High School,https://www.greatschools.org/new-jersey/summit/1916-Summit-Sr-High-School/,"125 Kent Place Boulevard, Summit, NJ, 07901
�
3.8
(9 Reviews)"
Allentown High School,https://www.greatschools.org/new-jersey/allentown/2026-Allentown-High-School/,"27 High Street, Allentown, NJ, 08501
�
4.2
(10 Reviews)"
Verona High School,https://www.greatschools.org/new-jersey/verona/2042-Verona-High-School/,"151 Fairview Avenue, Verona, NJ, 07044
�
3
(2 Reviews)"
West Essex High School,https://www.greatschools.org/new-jersey/caldwell/2147-West-Essex-High-School/,"65 WEST GREENBROOK RD, North Caldwell, NJ, 07006
�
2.8
(8 Reviews)"
West Morris Central High School,https://www.greatschools.org/new-jersey/chester/2166-West-Morris-Central-High-School/,"259 Bartley Road, Chester, NJ, 07930
�
4
(4 Reviews)"
West Windsor-Plains High School South,https://www.greatschools.org/new-jersey/west-windsor-township/2190-Wwindsor--Plainsboro-South/,"346 CLARKSVILLE ROAD, West Windsor Township, NJ, 08550
�
4.1
(15 Reviews)"
Liberty High School,https://www.greatschools.org/new-jersey/jersey-city/3416-Liberty-High-School/,"299 Sip Avenue, Jersey City, NJ, 07306
�
5
(2 Reviews)"
Cranford Sr High School,https://www.greatschools.org/new-jersey/cranford/369-Cranford-Sr-High-School/,"201 West End Place, Cranford, NJ, 07016
�
4
(1 Reviews)"
Cresskill Jr Sr High School,https://www.greatschools.org/new-jersey/cresskill/375-Cresskill-Jr-Sr-High-School/,"1 Lincoln Drive, Cresskill, NJ, 07626
�
4
(2 Reviews)"
East Brunswick High School,https://www.greatschools.org/new-jersey/east-brunswick/423-East-Brunswick-High-School/,"380 Cranbury Road, East Brunswick, NJ, 08816
�
3.7
(22 Reviews)"
Robbinsville High School,https://www.greatschools.org/new-jersey/robbinsville-township/4257-Robbinsville-High-School/,"155 ROBBINSVILLE EDINBURG RD, Robbinsville Township, NJ, 08691
�
4.1
(9 Reviews)"
Performing Arts Academy,https://www.greatschools.org/new-jersey/lakehurst/4288-Performing-Arts-Academy/,"1 College Drive, Toms River, NJ, 08754
�
3
(4 Reviews)"
J P Stevens High School,https://www.greatschools.org/new-jersey/edison/478-J-P-Stevens-High-School/,"855 Grove Avenue, Edison, NJ, 08820
�
3.8
(24 Reviews)"
KIPP Academy Charter School,https://www.greatschools.org/new-york/bronx/6396-KIPP-Academy-Charter-School/,"250 E 156TH ST-4TH FL, The Bronx, NY, 10451
�
5
(5 Reviews)"
The Renaissance Charter School,https://www.greatschools.org/new-york/queens/6401-The-Renaissance-Charter-School/,"35-59 81st Street, Queens, NY, 11372
�
2.8
(12 Reviews)"
Deer Park High School,https://www.greatschools.org/new-york/deer-park/672-Deer-Park-High-School/,"1 Falcon Place, Deer Park, NY, 11729
�
4.8
(8 Reviews)"
Fordham High School For The Arts,https://www.greatschools.org/new-york/bronx/6953-Fordham-High-School-For-The-Arts/,"500 E FORDHAM RD, The Bronx, NY, 10458
�
4.3
(4 Reviews)"
Marble Hill High School of International Studies,https://www.greatschools.org/new-york/new-york/6958-Marble-Hill-High-School-Of-International-Studies/,"99 TERRACE VIEW AVE, The Bronx, NY, 10463
�
3.7
(6 Reviews)"
East Rockaway Junior/Senior High School,https://www.greatschools.org/new-york/east-rockaway/758-East-Rockaway-Junior-Senior-High-School/,"443 Ocean Avenue, East Rockaway, NY, 11518
�
4.7
(3 Reviews)"
Middle School 223 Laboratory School of Finance and Technology,https://www.greatschools.org/new-york/bronx/7696-Middle-School-223-Laboratory-School-Of-Finance-And-Technology/,"360 E 145TH ST, The Bronx, NY, 10454
�
3.7
(9 Reviews)"
The Celia Cruz Bronx High School of Music,https://www.greatschools.org/new-york/bronx/7705-The-Celia-Cruz-Bronx-High-School-Of-Music/,"2780 RESERVOIR AVE, The Bronx, NY, 10468
�
4.7
(7 Reviews)"
City College Academy Of The Arts,https://www.greatschools.org/new-york/new-york/8191-City-College-Academy-Of-The-Arts/,"4600 Broadway, New York, NY, 10040
�
3.7
(3 Reviews)"
Kipp Infinity Charter School,https://www.greatschools.org/new-york/new-york/8324-Kipp-Infinity-Charter-School/,"625 West 133rd Street, New York, NY, 10027
�
4.2
(11 Reviews)"
South Bronx Charter School for International Cultures and the Arts,https://www.greatschools.org/new-york/bronx/8342-South-Bronx-Charter-School-Inter-Cultures-And-Arts/,"164 Bruckner Boulevard, The Bronx, NY, 10454
�
2.7
(13 Reviews)"
Williamsburg High School for Architecture and Design,https://www.greatschools.org/new-york/brooklyn/8401-Williamsburg-High-School-For-Architecture-And-Design/,"257 North 6th Street, Brooklyn, NY, 11211
�
4
(1 Reviews)"
Williamsburg Preparatory School,https://www.greatschools.org/new-york/brooklyn/8402-Williamsburg-Preparatory-School/,"257 North 6th Street, Brooklyn, NY, 11211
�
4
(9 Reviews)"
Achievement First East New York Charter School,https://www.greatschools.org/new-york/brooklyn/8428-Achievement-First-East-New-York-Charter-School/,"557 Pennsylvania Avenue, Brooklyn, NY, 11207
�
3.5
(8 Reviews)"
Sachem High School East,https://www.greatschools.org/new-york/farmingville/8457-Sachem-High-School-East/,"177 Granny Road, Farmingville, NY, 11738
�
5
(6 Reviews)"
Farmingdale Senior High School,https://www.greatschools.org/new-york/farmingdale/854-Farmingdale-Senior-High-School/,"150 Lincoln Street, Farmingdale, NY, 11735
�
4.2
(12 Reviews)"
Success Academy Harlem 1,https://www.greatschools.org/new-york/new-york/8771-Success-Academy-Harlem-1/,"34 West 118th Street, New York, NY, 10026
�
3.3
(19 Reviews)"
East West School Of International Studies,https://www.greatschools.org/new-york/queens/8817-East-West-School-Of-International-Studies/,"46-21 COLDEN ST, Queens, NY, 11355
�
4.7
(27 Reviews)"
York Early College Academy,https://www.greatschools.org/new-york/queens/8823-York-Early-College-Academy/,"108-35 167TH ST, Queens, NY, 11433
�
3.9
(8 Reviews)"
Urban Assembly School for Leadership and Empowerment,https://www.greatschools.org/new-york/brooklyn/8955-Urban-Assembly-School-For-Criminal-Justice/,"4200 16TH AVE, Brooklyn, NY, 11204
�
2.3
(6 Reviews)"
Goshen Central High School,https://www.greatschools.org/new-york/goshen/962-Goshen-Central-High-School/,"222 Scotchtown Avenue, Goshen, NY, 10924
�
3.5
(6 Reviews)"
University Neighborhood High School,https://www.greatschools.org/new-york/new-york/6268-University-Neighborhood-High-School/,"200 Monroe Street, New York, NY, 10002
�
3.7
(3 Reviews)"
Henry Abbott Technical High School,https://www.greatschools.org/connecticut/danbury/10-Henry-Abbott-Technical-High-School/,"21 Hayestown Avenue, Danbury, CT, 06811
�
3.1
(11 Reviews)"
